evidence_id,timeline_record_id,video_id,relative_path,master_or_derivative,file_role,sha256,size_bytes,mime_type,source_video,timestamp,verification_state,notes
phase0-frame-video-003-tl-010,phase0-video-003-tl-010,phase0-video-003,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_021/CF27_XBOXUNKNOWN_RTG_HEAD_021_MENU_video-003_80p88s.png,derivative,existing_research_derivative,68168fc8e7bf8f5418477add80fc2d7b957b5d40211457e6dcdc841e207fc586,1306439,image/png,03_Head_Templates_Faces_12-29.mov,80.88,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-003-tl-011,phase0-video-003-tl-011,phase0-video-003,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_026/CF27_XBOXUNKNOWN_RTG_HEAD_026_MENU_video-003_95p04s.png,derivative,existing_research_derivative,3224c400274eea91b073da05f3b66ed3f48d0ff7055fbfef65339f0e4e645466,1521822,image/png,03_Head_Templates_Faces_12-29.mov,95.04,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-003-tl-012,phase0-video-003-tl-012,phase0-video-003,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_027/CF27_XBOXUNKNOWN_RTG_HEAD_027_MENU_video-003_100p72s.png,derivative,existing_research_derivative,af258c31985fcc8bcbb4b3b22c6827cac6b2d3bc679ed4c2aec746d223e0d030,1363558,image/png,03_Head_Templates_Faces_12-29.mov,100.72,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-003-tl-013,phase0-video-003-tl-013,phase0-video-003,data/phase-zero/derivative-frames/video-003-tl-013_03-head-templates-faces-12-29-mov_114p5s.png,derivative,phase_zero_timeline_derivative,42bdc2c062c7b58df737efbd977c54b2a3b0d0f80493e50644ac2e1e28f14710,1442995,image/png,03_Head_Templates_Faces_12-29.mov,114.5,OBSERVED_PENDING_VERIFICATION,Phase 0 timeline derivative extracted at full source resolution without cropping or appearance alteration.
phase0-frame-video-003-tl-014,phase0-video-003-tl-014,phase0-video-003,data/phase-zero/derivative-frames/video-003-tl-014_03-head-templates-faces-12-29-mov_123s.png,derivative,phase_zero_timeline_derivative,2200ac94d29f4fa2093cf103253e4b95679edbb348db872ff29b232bd161d1ea,1443175,image/png,03_Head_Templates_Faces_12-29.mov,123,OBSERVED_PENDING_VERIFICATION,Phase 0 timeline derivative extracted at full source resolution without cropping or appearance alteration.
phase0-frame-video-003-tl-015,phase0-video-003-tl-015,phase0-video-003,data/research/cf27/generated/full-resolution-frames/head-templates-faces-001-029/CF27_XBOXUNKNOWN_RTG_HEAD_029/CF27_XBOXUNKNOWN_RTG_HEAD_029_MENU_video-003_128p20s.png,derivative,existing_research_derivative,308695f7c8e3882efc96570e17361a3956f4a3aafefd962cb8d3ed6cb0605327,1321687,image/png,03_Head_Templates_Faces_12-29.mov,128.2,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-004-tl-002,phase0-video-004-tl-002,phase0-video-004,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_008/CF27_XBOXUNKNOWN_RTG_SKINTONE_008_MENU_video-004_10p50s.png,derivative,existing_research_derivative,d19dfa53bd8d97e8a46c3fff7c4e13a0d3e560cf91dd296bff69bb274d10526e,1463341,image/png,04_Skin_Tone.mp4,10.5,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-004-tl-003,phase0-video-004-tl-003,phase0-video-004,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_004/CF27_XBOXUNKNOWN_RTG_SKINTONE_004_MENU_video-004_12p50s.png,derivative,existing_research_derivative,f0b38718a6c1da36cf399ea015a8af5a4324dc944837c067334273198126b9f9,1488185,image/png,04_Skin_Tone.mp4,12.5,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-004-tl-004,phase0-video-004-tl-004,phase0-video-004,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_016/CF27_XBOXUNKNOWN_RTG_SKINTONE_016_MENU_video-004_14p00s.png,derivative,existing_research_derivative,364f5963fadad77b7296a6c16d9f83df87ca4c46a37cc7affc4799ee9f787b30,1526821,image/png,04_Skin_Tone.mp4,14,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-004-tl-005,phase0-video-004-tl-005,phase0-video-004,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_020/CF27_XBOXUNKNOWN_RTG_SKINTONE_020_MENU_video-004_15p50s.png,derivative,existing_research_derivative,d96f67af1c5882fcd76003db629a20eef54de1155302ba5077d56d22c7a1ab85,1466679,image/png,04_Skin_Tone.mp4,15.5,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-004-tl-006,phase0-video-004-tl-006,phase0-video-004,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_019/CF27_XBOXUNKNOWN_RTG_SKINTONE_019_MENU_video-004_17p50s.png,derivative,existing_research_derivative,437927e8b73a0de35cd5bd7ddbb456a7880f188a846653d67b8bb73a974ce565,1395177,image/png,04_Skin_Tone.mp4,17.5,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-004-tl-007,phase0-video-004-tl-007,phase0-video-004,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_015/CF27_XBOXUNKNOWN_RTG_SKINTONE_015_MENU_video-004_21p50s.png,derivative,existing_research_derivative,3c0896c7d685698de57cef772ce34952b68a1e33fa55bf72a653e589913e4e3e,1414557,image/png,04_Skin_Tone.mp4,21.5,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-004-tl-008,phase0-video-004-tl-008,phase0-video-004,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_021/CF27_XBOXUNKNOWN_RTG_SKINTONE_021_MENU_video-004_23p50s.png,derivative,existing_research_derivative,91703d03bd165614c7c62baed673254c8177343a0e620bb7126a01bc0cfa8158,1422033,image/png,04_Skin_Tone.mp4,23.5,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-004-tl-009,phase0-video-004-tl-009,phase0-video-004,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_006/CF27_XBOXUNKNOWN_RTG_SKINTONE_006_MENU_video-004_25p50s.png,derivative,existing_research_derivative,bb801655293ec24779396175b6ab9db9e10b838224d34619110402c8eb29cfe7,1378995,image/png,04_Skin_Tone.mp4,25.5,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-004-tl-010,phase0-video-004-tl-010,phase0-video-004,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_007/CF27_XBOXUNKNOWN_RTG_SKINTONE_007_MENU_video-004_27p50s.png,derivative,existing_research_derivative,41f4b10667f2e80d9310e5e99cd8d74e40e2dc4cc3940114632b1add1093e984,1426549,image/png,04_Skin_Tone.mp4,27.5,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
phase0-frame-video-004-tl-011,phase0-video-004-tl-011,phase0-video-004,data/research/cf27/generated/full-resolution-frames/skin-tone-values-001-024/CF27_XBOXUNKNOWN_RTG_SKINTONE_005/CF27_XBOXUNKNOWN_RTG_SKINTONE_005_MENU_video-004_29p50s.png,derivative,existing_research_derivative,b35d102d47f9a14a66fd1862a0e54f4c7bed83649e069aa94cb32a50dc123dd9,1480835,image/png,04_Skin_Tone.mp4,29.5,OBSERVED_PENDING_VERIFICATION,Existing research derivative frame linked to this timeline event; source video remains unchanged.
